pheno	m_mean	f_mean	m_var	f_var	m_varse	f_varse
height	175.621282873464	162.466368582257	46.882111223888	39.989247108443	0.0145093572846895	0.0123032226629008
bmi	27.8321171878793	27.0729321162986	17.9484858893981	26.8431908249097	0.00898182594563099	0.0100864403167576
testosterone	11.9799307277871	1.12659633044966	13.8783016551504	0.507760195698084	0.00810815123574968	0.0015553925532209
RBC_count	4.74505429903832	4.3233308251887	0.146139756509667	0.115136699963165	0.000820150233952514	0.00067062819673701
IGF1	21.9018386065052	20.9724912477272	30.8009108000946	33.5027059641566	0.0120544331684923	0.011562630180062
creatinine	81.7223360453707	64.370954445736	366.610205042397	189.010159716549	0.0414328215466315	0.0274746192721686
weight	85.9113293600891	71.4342917872785	205.69183918449	198.183412654523	0.0303928495427012	0.0274029503643011
calcium	2.37231046151814	2.38644039748105	0.00801816211645366	0.00949692846238838	0.000201799184550206	0.000203531171622456
protein_total	72.6189638143674	72.4126715457237	16.797001747943	17.0026341632206	0.00924054758730536	0.00861927114970215
whole_body_fat_mass	22.3228795363296	26.9137132471604	67.6826018277217	100.864133581781	0.0176026784630531	0.019687611400017
urate	354.458508594326	271.040956120569	5158.95063113659	4392.37989335393	0.155772708126641	0.132069615198827
arm_fatfree_mass_L	3.67479308471543	2.30053880180011	0.358620303567974	0.127501842616956	0.00127946794753557	0.000700283594876236
arm_fatfree_mass_R	3.64386681576485	2.26690963723482	0.331174911379061	0.0986915366529831	0.00122975665242284	0.000614850666581456
eosinophil_perc	2.7621064890619	2.4125082636061	3.79281684352835	3.22826062782643	0.00418488785373757	0.00355417497026657
lymphocyte_perc	27.8700652180932	29.7877276550135	56.3834430629483	54.2920753760974	0.0161277447176088	0.0145803140944212
waist_circ	96.9355408302388	84.6951716868154	128.57735321132	157.474984435571	0.0240103347973492	0.0244237568577653
hip_circ	103.421084137387	103.321922887662	58.0598437177024	107.575796014812	0.0161357081505695	0.0201680054328093
waist_to_hip	0.935771137359753	0.817999833436174	0.0042633073991456	0.00495315460964359	0.000138347717113397	0.00013699314932543
wth_bmi_adj	0.0607898111843721	-0.0507709126978386	0.00277444396132109	0.00400039161230374	0.000111741834158848	0.000123204376546043
diastolicBP_auto	84.0129502380418	80.6771326344355	111.714199865122	111.598700591033	0.0231003707060127	0.021231654127959
systolicBP_auto	142.717004918581	137.213753220635	342.843464920251	410.633387483419	0.0404527785547479	0.04072634977637
albumin	45.5200359624528	44.9445182399595	6.87327068966677	6.7810974428575	0.00590962063595057	0.00543890515982781
pulse_rate	68.5322968049394	70.4716914080799	150.808647909232	121.45773504816	0.0268422848996057	0.0221416023946668
urea	5.61076725141805	5.22925975597659	2.11017712242328	1.77336259364217	0.00315002557499896	0.00265220629819015
SHBG	39.6112058153523	61.9737443081539	283.780475659709	961.181617975029	0.0380945409121939	0.0651201938996465
FVC_best	3.34444726771203	2.42891929828335	0.544625906098969	0.275689980977988	0.00183965091993442	0.00121735366822913
HbA1c	36.5123155539856	35.8099285169047	57.5577160662849	35.7970267824716	0.0164853595461757	0.011935998941838
