model	albumin	arm_fatfree_mass_L	arm_fatfree_mass_R	bmi	calcium	creatinine	diastolicBP_auto	eosinophil_perc	FVC_best	HbA1c	height	hip_circ	IGF1	lymphocyte_perc	protein_total	pulse_rate	RBC_count	SHBG	systolicBP_auto	testosterone	urate	urea	waist_circ	waist_to_hip	weight	whole_body_fat_mass	wth_bmi_adj
add	0.040555649	0.02192011	0.0193118	0.0475419	0.037892245	0.012775256	0.017316711	0.043529627	0.019470939	0.021248575	0.096476414	0.041905698	0.068743396	0.043882449	0.034489137	0.028717315	0.073499095	0.065748523	0.018082507	0.006379754	0.053711447	0.02199119	0.030812055	0.012499868	0.040511301	0.041380843	0.015584747
add	0.033732843	0.02090057	0.022059091	0.043127887	0.039804861	0.011731481	0.015284856	0.03782548	0.019999904	0.023127786	0.100589761	0.036258509	0.077778665	0.054662023	0.034068637	0.036149109	0.057945991	0.080420215	0.015849133	0.005344242	0.043779876	0.020079658	0.029654922	0.011932242	0.051623611	0.045728762	0.013922177
mash	0.039869122	0.024315663	0.024331865	0.057983095	0.034065857	0.002986372	0.021344649	0.046494906	0.027023795	0.023435906	0.116620551	0.037393475	0.089990096	0.042524378	0.046811707	0.034404587	0.056276676	0.077711171	0.015959379	0.013287205	0.06049059	0.019270896	0.032412614	0.019400905	0.053649934	0.068081371	0.023499628
mash	0.032132708	0.024387673	0.028864616	0.070340466	0.035117938	0.005467391	0.026642225	0.050422777	0.025656284	0.025257029	0.114927288	0.057623735	0.071221655	0.046001092	0.037651916	0.028942304	0.064508508	0.074644141	0.01994474	0.011679852	0.04904954	0.023003538	0.034737305	0.020171038	0.06078958	0.065463718	0.02401111
mash	0.038764049	0.025802244	0.022705343	0.075941126	0.039153645	0.006511558	0.01785762	0.039329671	0.026045851	0.017189056	0.107801573	0.061162565	0.081521193	0.056397309	0.05020178	0.038487644	0.060712426	0.060248118	0.017773564	0.01238358	0.062841705	0.02525485	0.032812583	0.024512256	0.06546187	0.063991404	0.022123574
mash	0.038708861	0.02384451	0.030449175	0.061401852	0.040177285	0.007193648	0.02106406	0.05060967	0.02288625	0.021921433	0.115058641	0.054702481	0.078174182	0.05613896	0.03371345	0.030501692	0.065721174	0.07379939	0.022194496	0.013400205	0.057649057	0.020658446	0.031017882	0.021466204	0.059903278	0.063763389	0.020160539
mash	0.036923792	0.026758902	0.024801374	0.077056374	0.038545954	0.006107499	0.017757716	0.041392269	0.034314455	0.023095144	0.112637852	0.055345756	0.078213357	0.050089644	0.033619808	0.031172475	0.066753861	0.068727883	0.017540923	0.010062207	0.055616194	0.018071372	0.029533328	0.018917477	0.065897944	0.065463796	0.018500115
mash	0.038501005	0.023548605	0.029397837	0.061106074	0.040973839	0.003434213	0.019798581	0.044191105	0.025591622	0.021935719	0.109227142	0.058040701	0.069726198	0.058904843	0.040566223	0.032832106	0.060418622	0.07095758	0.017996994	0.013908568	0.053879897	0.018930476	0.031259468	0.019413871	0.057061222	0.056918202	0.019686048
mash	0.033677871	0.024205654	0.025928325	0.071318863	0.036434973	0.007003873	0.016590888	0.048366781	0.023934104	0.027158631	0.109035884	0.059881709	0.079626624	0.052111544	0.038190461	0.034245386	0.060570015	0.061776584	0.01876934	0.012710211	0.057571518	0.023317843	0.029495725	0.017342039	0.067606693	0.063928295	0.023755631
mash	0.041168376	0.022708056	0.027777184	0.06996826	0.042011481	0.005283754	0.022497717	0.047114121	0.021965947	0.02915133	0.121015268	0.046050502	0.066037413	0.045897398	0.034658355	0.026758936	0.061424129	0.06074016	0.02683513	0.012395643	0.061629405	0.019790359	0.039031681	0.016599524	0.069656047	0.061371473	0.020069864
mash	0.041263026	0.026603302	0.029075141	0.077500581	0.03677454	0.003912432	0.017695074	0.033950563	0.026337521	0.018344578	0.115928742	0.054596887	0.076087626	0.061872134	0.043931403	0.028618028	0.063508018	0.069517773	0.016969877	0.013877538	0.056055806	0.025437572	0.029840955	0.023015726	0.060150229	0.058459992	0.023408175
mash	0.034606162	0.021110147	0.019169537	0.069715708	0.042368007	0.005532759	0.017385271	0.043221956	0.027578565	0.026420925	0.11941911	0.048697145	0.069846101	0.061098558	0.040330719	0.030479959	0.061992893	0.070148619	0.023003996	0.010652678	0.052242816	0.021673759	0.031968478	0.019856597	0.06565658	0.058551303	0.019638277
mash	0.040131308	0.023329815	0.021682685	0.07376047	0.034439534	0.005509793	0.017586655	0.048161726	0.029496294	0.022876553	0.111493506	0.046067781	0.072602665	0.050330712	0.038291647	0.036121739	0.065180018	0.071787539	0.01977417	0.010021988	0.0568966	0.023596934	0.032749427	0.020586973	0.070677903	0.065606654	0.02358434
mash	0.03885553	0.02129502	0.023820083	0.068620049	0.044333548	0.006774339	0.015807171	0.044826622	0.029845991	0.020863857	0.112249913	0.043211709	0.079089038	0.050789558	0.038546052	0.030470021	0.064170345	0.068155709	0.026768956	0.011933019	0.056786156	0.022817594	0.038928376	0.021128736	0.060243525	0.061887816	0.020735587
mash	0.046873236	0.022046696	0.028174416	0.075543688	0.038774437	0.0072138	0.01676526	0.046285312	0.027826651	0.027700269	0.119537245	0.047852338	0.079032737	0.055689932	0.036719301	0.029381916	0.066463076	0.069384085	0.023103879	0.013415163	0.058534808	0.020434861	0.038408219	0.018191406	0.063766262	0.06466924	0.020295239
mash	0.040318684	0.024377774	0.023589341	0.068629798	0.032598602	0.00597814	0.013880151	0.04761306	0.028037248	0.024124235	0.121569617	0.059912588	0.081642069	0.047365117	0.033899777	0.033330624	0.062189166	0.063920801	0.016406079	0.013081758	0.059036971	0.019974919	0.033319243	0.022304893	0.057814418	0.067101021	0.021108704
mash	0.038952459	0.022729177	0.028904061	0.07601527	0.032524272	0.00635122	0.018651218	0.047235811	0.030815614	0.024685943	0.108721147	0.058256863	0.074891093	0.042642014	0.0335931	0.030096055	0.060127344	0.073406373	0.021118928	0.011858465	0.057346853	0.021067671	0.034187084	0.018344081	0.054909909	0.068664621	0.022104382
mash	0.041751563	0.030765866	0.026651872	0.072621767	0.040395007	0.002931762	0.017118548	0.049963731	0.025404537	0.017885207	0.115298323	0.059119976	0.081277198	0.055375462	0.037722986	0.031345151	0.069966189	0.070585234	0.019885375	0.010242942	0.064270795	0.021137455	0.030286801	0.023969136	0.068472544	0.057998968	0.019996898
mash	0.039903018	0.025766563	0.025127772	0.064525771	0.0408442	0.004898296	0.023617448	0.056526003	0.027224825	0.032472789	0.112119325	0.048391854	0.074657874	0.047020782	0.039553523	0.03414385	0.058464517	0.081133929	0.023423055	0.012076387	0.056886482	0.020242827	0.027747522	0.023463695	0.063641439	0.063355953	0.018909584
mash	0.035020067	0.021741383	0.027744759	0.068236268	0.037874427	0.006141085	0.022327875	0.046238244	0.028254981	0.027018496	0.11633933	0.040201053	0.075887852	0.053159626	0.042672298	0.030904257	0.057710865	0.062112533	0.022520254	0.012088185	0.057150805	0.018681583	0.032346646	0.021648926	0.072644857	0.049013101	0.019166146
mash	0.039995786	0.023723751	0.030118288	0.063948276	0.035695461	0.005873326	0.020011687	0.0434778	0.025558294	0.021920941	0.113901048	0.056701781	0.075046701	0.043052552	0.039882323	0.030662237	0.074884156	0.068167589	0.019499745	0.01227612	0.057664812	0.019759885	0.031336526	0.021073185	0.061832171	0.060723144	0.021170376
mash	0.033691047	0.022807793	0.033086649	0.063372505	0.039038759	0.005745772	0.019138557	0.037553868	0.027083614	0.021548427	0.1143637	0.052787077	0.076967198	0.053925074	0.037912282	0.036258821	0.06523596	0.07597983	0.015848485	0.010807784	0.056207361	0.020845904	0.030287814	0.020980493	0.068042946	0.06248416	0.023125792
