pval	Phenotype	Weight
5e-08	Height	0.0185461770003896
1e-05	Height	0.0117607881313013
0.05	Height	0.0103767319010926
1	Height	0.439111136198693
5e-08	BMI	0.0574444686066209
1e-05	BMI	0.021884171639588
0.05	BMI	0.0103599188366101
1	BMI	0.470758721294486
5e-08	Waist:hip (bmi adjusted)	0.0518207362467133
1e-05	Waist:hip (bmi adjusted)	0.0314126662914839
0.05	Waist:hip (bmi adjusted)	0.0113806785637547
1	Waist:hip (bmi adjusted)	0.585268658839776
5e-08	Testosterone	0.0762889795489797
1e-05	Testosterone	0.0518460015685341
0.05	Testosterone	0.0122897248339196
1	Testosterone	0.608888187179
