"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"
0.799187542216532	0.768133510361354	0.829195506629617	0.842073728683046	0.842981725031816	0.749803570676982	0.841204915711298	0.79602911814921	0.841410033666978	0.803345949507914	0.797498124722699	0.845875714717484	0.781288628914276	0.79739158741355	0.842270940280148	0.796737931136944	0.821515153333042	0.820770745817241	0.807204576332134	0.795945339211187	0.817783936554675	0.800561596826017	0.856182450326116	0.82921010697087	0.85926348901959	0.830976881960547	0.811466513623053	0.794778335743729	0.812256686931861	0.827393077349544	0.796514589027864	0.80585141353873	0.845924361329907	0.838291533936692	0.829112655708569	0.845217049718213	0.809534087624722	0.846741519311519	0.852352383058668	0.845353150158731	0.849288293708221	0.821898278414369	0.733979303221342	0.836607498177471	0.760183426395314	0.741740979873504	0.816646674278107	0.781007278245809	0.812795060562323	0.832869653108228	0.719486672232993	0.846601296595807	0.817235486118473	0.786252304834567	0.760149519506606	0.830068774889035	0.834922987723601	0.832677935484039	0.814348215669481	0.810252394707135	0.838231251176779	0.82755109106311	0.845390459307644	0.837186185181937	0.777274499067086	0.803409051963501	0.856411736190776	0.828867932003485	0.776982955923972	0.823182102540437	0.83014434727844	0.80357627103665	0.812268124540267	0.796496701047749	0.860527532558682	0.854973266996828	0.825467635696815	0.761332160805906	0.842320784814088	0.78580710535406	0.73188602219532	0.834815822717593	0.720565993807496	0.842707333215382	0.799233579068263	0.776679927832657	0.826749033004829	0.756938598168936	0.784807131304799	0.789518162617784	0.816382417104103	0.801682467950256	0.814348703796868	0.821911467625644	0.781879450697394	0.802518937409926	0.840949782534529	0.848827227379363	0.813304255331656	0.830253990482221
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.03562357457755	5.11144241847373e-05	0.000117521544913732	0	0	0	0.0436861675091626	0	0.0221141144463974	0	0	0	0	0	0	0	0	0	0.0458855537800431	0	0	0	5.75240339694672e-05	0	0	0.0213700767266151	0	0	0	0	0	0	0	0.00700016394217507	0	0	0	0	0	0	0	0	0	0	0	0.00802980992690431	0	0	0	0	0	0	0.0532630931362749	0	0	0	0	0.0264939826309246	0	0	0	0	0	0.0116819902061041	0	0.000486712460240544	0	0.00233609196511142	0.00153862758034106	0	0	0	0.0117228459972413	0	0	0	0	0	0.000711509987873084	0	0.0112202167869097	0.0439002292936376	0	0	0	0	0	0.0011751023316539	0.0142118224413746	0.00610671974940535	0	0	0.00230341180435011	0	0	0	0	0.0014748893647088	0.00139382874884613
0.000228587064348091	0	0.00408796883049693	0	0	0.00015016436632236	0	0	0	0	0	0	0	0	0.000418009963927101	0	0	0.00347246020292444	0	0	0	0	0	0	0	3.09896344288525e-05	0	0	0	0	0	0	0	0.0055428010451977	0	0.00124450678488217	0	0	0	0	0	0.00286827916613025	0.107760001740419	0	0	0.000476642909702808	0.02200094262252	0	0	0	0	0	0	0	0	0	0	0	0	0.0124969943487365	0	0	0	0	0.000657352003944685	0	0	0	0.00521511996879988	0	0	0	0	0	0.00152666725732959	0	0	0	0	0	0	0	0.0189535066022336	0	0	0	0	0	2.80377216617547e-06	0	0	0	0	0	0.0330130770013866	0	0	0	0	0
0.114258829726572	0.12570293631139	0.121669150838111	0.11150502266465	0.126428689298669	0.113543669109487	0.107453707625889	0.113188854934664	0.106182087646783	0.126440097457465	0.127771791861343	0.122377500831604	0.114827631400129	0.11610575714846	0.129626649268451	0.121772746729189	0.146298142620435	0.120023889870426	0.111595227505239	0.11157192590515	0.114401748680754	0.11924661232244	0.115510880080869	0.113307459342225	0.115876755175446	0.109252037948679	0.111232121295144	0.161160887055917	0.125179340266447	0.127477816228776	0.145542353003019	0.104041556923276	0.117658288871452	0.123301059589185	0.108726623374678	0.117151234695277	0.131133933842543	0.118996555449038	0.121336709360414	0.117572056696306	0.130577754527856	0.110307155324331	0.120053299369143	0.117532022205027	0.109071512535444	0.194455950421752	0.112766992608668	0.114665059502955	0.164455699251261	0.142683263516542	0.118324725920446	0.129983291592394	0.111333982990266	0.122554716599481	0.116047741949021	0.119415176992408	0.131796376548208	0.120231296777539	0.119753331494208	0.114871688072489	0.128730092650167	0.111515521770988	0.111662116259839	0.120623403510422	0.120256721623924	0.143445784689981	0.112866987134876	0.1037092065805	0.164885984817473	0.147822908081827	0.13428101884855	0.127856774024694	0.113541410146321	0.169422751506307	0.117130572921605	0.121171196654847	0.132506701735343	0.11457003631416	0.134676736052555	0.130033363857605	0.130670434632588	0.110138719017971	0.119033705201554	0.119201657019725	0.108356097554015	0.113226015388074	0.128688930089868	0.199262344278009	0.14467732093435	0.167577773410081	0.113005383477574	0.157990177963997	0.110871524629106	0.105580377715738	0.107542653360914	0.113983983792052	0.13238311021372	0.107714774325955	0.137496227022667	0.127886793903293
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00720247265553866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000385391058903874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010080125834483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0588651470180041	0.024104424744756	0.000608571713702496	0	0	0	0.0131829351770593	0.00200161513836188	0.0181242186851047	0.00131992866673803	0.0531679841901614	0.0042994123706861	0.00245096038707231	0	0.00756748199847	0.000399428586079868	0.00832512445828584	0.0117373349278785	0.00208301087872039	0.00859232665265366	0.00480864757653363	0.0011638449502206	0.000514659834780315	0.0040569277743131	0.000534458632906133	0.0381724834408324	0.000421528084677868	0.000268245298835503	0.0414429951918435	1.06739875495402e-05	0.0134204056341075	0	0.00712158207030563	0.00855386726105548	0.0198238898706499	0.00333781352258096	0.0384138200046491	0	0	0.00604398349823134	0.000512784292628424	0.00838895439696686	0.00446139279050708	0.00225603491782319	0.00755489258338125	0.00465016104513452	0.00499951625899208	0	0.000533101442419494	0	0.0018422733617373	0	0	0.00700030652417876	0.0127645592359946	0.00192926314765451	0.00691332199800974	0.000817269646224442	0.00284779243679138	0	0.00638504080497137	0	0.00176628273981409	0.0142878452793594	0.0511443579104894	0.02730086977623	0	0.0405949687491436	0.0202802608299704	0.00313987509651062	0	0.00941460157197979	0	0	0	0	0	0.0072848586701872	0	0	3.62146241039563e-05	0.00632661312573357	0.00300665149345566	0.0012270238804539	0.0354562955796034	0	0.00253728313288887	0.0210451543500566	0.00182680638415497	0	0.00208463227701631	0.0105989259837782	0.00170743446848366	0.00519209035629462	0.0143034356680521	0.0257888386851601	0.00296876242283121	0	0.00108486767177149	0
0.0054507395230597	0	0.00199037080625544	0.0245335528886092	0	0.0215050588506404	0.00369352022199559	0.000608087491414549	0	0.00600137128481716	0	0	0.0197886957510297	0.0384274136795099	0.000164824410424291	0.0485565779530606	0.00153050509388031	0.0204845814629943	0.00389152694926664	0	0.0380182889131776	0.0359973872954664	0.00487626779452858	0.00954206428895562	0	0	0.0350330196331433	0	0	0.00773034555162567	0	0.0470819724421125	0.00182307027062914	0.00437614339656837	0.0122385690910462	0.000333522017959454	0	0.0137668535549096	0.00219091140842215	0	0	0.0135178189373369	0.000292056648591969	0.000592571548454537	0.00445228921399896	0.0314449867296635	0.0165675790258107	0.018157527112367	0.000323192918315939	0	0.135865675198465	0	0.00167464336674514	0.00327582897289405	0.0946543898592451	0.00756240915225915	0	0.00161967035812823	0.0101673921864773	0	0	0.00409066476836115	0	0	0	0	0.00550736630884476	0	0	0.00348482778463782	0	0	0	0	0	0	0.0159910904585601	0.00291758736159726	0.00143363561212026	0.0625114155674772	0.00121815320602502	0.000190839638143605	0.00218156986548254	0	0.0064065794073891	0.0158765020281472	0.0203791624219056	0	0.0476855669479075	0	0.00674390318280283	0.00923315115386518	0.00496571496988239	0.0248909316060689	0.000148114644856709	0	0	0.0122365968172609	0.0235106302344927	0.0177926713353855
