"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"
0	0	0	0.0112653528475925	0	0	0	0	0	0	0.0068016449491909	0	0	4.23568314245001e-05	0	0	0.00427056234422849	0	0	0.000445501966924918	0	0	0	0	0	0.00135259950843215	0.0159935368590885	0	0.000799333477265764	0	0	0	0	0.0303557272519753	0	0	0	0	0	0	0	0.00680938538643237	0	0	0	0.000136117521609757	0	0	0	0	0.0389781396449662	0.00178096414798329	0	0	0	0	0.00120704829071583	0	0.0297790825511091	0	0	0.00514417539143101	0.000701263354349252	0	0	0	0	0	0	0	0.00349873870656111	0	0	0	0	0	0	0	0.0693102520642201	8.38735888636513e-05	0	0	0	0	0	0	0	0	0.00230608363728048	0.00609062970851522	0.00195371580233696	0	0	0	0	0	0	0	0
0	0	0	0.00483193451284438	0	0	0	0	0	0.0018651041399497	0.0156218280336677	0	0.0620720812454434	0	0	0	0.001950191266284	0	0	0	0.000250956035247239	0.000185505596593877	0	0	0	0	0	0.0758112212288548	0	0	0.0255411961970176	0	0.000316176438923379	0	0	0	0	0	0.000352885828458346	0	0	0.0335349032683394	0	0	0	0	0	0	0	0	0	0.00298730509109629	0	0	0	0	0	0	0	0	0	0	0	0	0.000449130210077804	0	0	0	0	0.000399345452492712	0	0	8.47101052864862e-05	0	1.51879879403503e-05	0	0	0	0	0	0	0	0	0	0.000299064716427366	0	0	0	0.000425322453373319	0	0	0.00286680498135438	0	0	0	0	0	0	0
0	0	0	0.000985619570423822	0	0	5.49986286907568e-05	0.00626649198391378	0.00880367479187981	0	0	0	0.00220364111043539	0.00405474973240814	0	0	0.000174242533453415	0	0	0	0	0	0	0	0	0	0	0	0.0126452477488308	0	0	0	0	0.0379983050141751	0	0	0	0	0.000176561731060197	0	0	0	0	0	0	0	0	0	0	0	0	9.73732548515814e-05	0	0	0	0	0	0.000170466246318177	0.0324423901877237	0	0.00109649382362252	0.0098482583448805	0	0	0	0.000798693503003971	0	0	0	0	0.00214814563071392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122695558077868	0	0	0	0	0.00368236310647439	0	0	0	0
0.00544518300289537	0.000636572399345982	0.0683315767572656	0.0199982519460536	0.0171176178243844	0	0	0.00435781930096823	0	0	0.0396509063497173	0	0	0.0148368124449012	0.00957765911760972	0	0.00962020994156879	0	0.0192532870850704	0.00351201954788055	0	0	0.00367378751710141	0	0	0	0	0.0137411381700162	0.00486854365121285	0	0	0	0	0	0	0	0	0	0.0173645306398407	0	0	0	0	0	0	0	0	0	0	0.00159482218889576	0	0	0.00235010145891675	0	0	0	0	0	0	0	0	0	0	8.88479707304127e-05	0	0	0.00647051012366298	0.00476986782092862	0	0	0.00593072205553641	0	0	0	0.00477229696794171	0.0156236030038991	0	0	0	0	0.0106215342911442	0.0670415617394045	0	0	0	0.00302508458680434	0	0.0632021512861687	0	0	0.0399181252359287	0	0.00178157176256319	0	0.00221700245341623	0	0.0060157093357582	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000326949016771293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00222442901279862	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.00410159163073771	0	0.00296414194732817	0	0	0	0	0	0	0	0	0	0	0.00321651822971823	0	0	0	0	0	0	0	0.00166528761174284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00733626804220176	0	0	0	0.014896202055295	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00534250556568902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
