"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"
0.793110708817855	0.838198646835063	0.777394879887276	0.845317155592285	0.833210271868412	0.774664955363868	0.828545482079332	0.813616420577705	0.826989983725686	0.813045133018728	0.823572138553366	0.838538414465435	0.821676833961503	0.728698057599373	0.802223038246954	0.816080176833542	0.834350120588742	0.819060790039743	0.804816463403702	0.819819788247929	0.805538785270179	0.819523662196391	0.853216678648837	0.842366166194721	0.855343434534943	0.823448136819014	0.789656622497798	0.741385012925525	0.826397857355639	0.837998163677136	0.761003381568484	0.803457460270642	0.838711725708121	0.803383212023804	0.844894044736686	0.812436398129016	0.803550475680552	0.832226009077647	0.832013619365184	0.816786572056758	0.847790723631067	0.843421016472978	0.812288592342587	0.800557981467208	0.836973477628753	0.744257492218357	0.761317008166499	0.812724307242343	0.776578660030741	0.788470414330042	0.773191149189995	0.83787652622695	0.833260278657614	0.819803497865765	0.799387786269309	0.840411238932588	0.800077211522413	0.817907863236665	0.840016986642863	0.790324250448606	0.831750957150953	0.797340247169307	0.800480423819866	0.842998908465002	0.687302782625326	0.806845376381172	0.82428635333451	0.822211395529355	0.749995277458425	0.826914647924086	0.824031373580226	0.847151487346904	0.754059516445634	0.822159014884819	0.846661624849829	0.844727976372044	0.820839169938669	0.748921500973846	0.833241916633643	0.780492385957033	0.820198456068161	0.845904245551545	0.800033800235955	0.819591226840628	0.758449326127067	0.79608474453273	0.844002583947422	0.768527099307973	0.819122483097879	0.790975846526869	0.775609982397614	0.783217202250734	0.785060276262714	0.84125611169729	0.824786169578092	0.815663791230335	0.84670353030524	0.833987113773176	0.799124243076003	0.82248020566568
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0478417632646383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00216268668597336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0168941278221239	0.0186541461823036	0.0181872022348991	0.0146128551046188	0.0170334513171141	0.0573744580622741	0.0435104620168084	0.0242583493590127	0.0176742456230543	0.0158342181201009	0.0149770961147078	0.0212760750027091	0.0154362336191893	0.0917266029342465	0.0173122104619554	0.0171149995075163	0.0171951898850119	0.0179846125474454	0.0178060517073722	0.015801980813142	0.0237440711076646	0.0172667752741039	0.0200052678761965	0.0197465194045266	0.0175193357977637	0.0468038783517002	0.0337269554415144	0.0167875916477516	0.0140756003361092	0.0208763951081808	0.084097613031985	0.0177473448593502	0.0258124942875817	0.0181936967828932	0.0179646750419515	0.0620913189590626	0.0204481363635822	0.0213219184353302	0.0194302658291421	0.0182238732829868	0.0140160998470106	0.0165503459599965	0.0177995417407344	0.0151810060117736	0.0146800942101856	0.0167004560166208	0.0384918245209536	0.0168893641558836	0.0172836366779064	0.018969587546557	0.0173846128738811	0.0172963298581672	0.0180211135105148	0.020564196786941	0.0162228478726311	0.0268124587776889	0.0178088042223731	0.0333427846052963	0.0154017274531937	0.0191972880160754	0.0200831088838409	0.0196753525306401	0.023646647624477	0.0169947052122611	0.0342446328867873	0.0197501212219637	0.0265388321855195	0.0155865182003481	0.0166362329999183	0.0164031359485984	0.0175055963888493	0.0165243317353486	0.0179913018089622	0.0189338973688349	0.0178355427235673	0.0252058540314314	0.0180612248871867	0.0530971684456534	0.0203086983757244	0.0184730753792286	0.019126518905524	0.0240155727456215	0.0186118056822249	0.029128557713898	0.0611213927541719	0.0190684092193893	0.0190217153192916	0.0174602317060556	0.0152465419146263	0.0181908936189636	0.0203991399532042	0.0203033122319936	0.0184769122287792	0.019669169832438	0.0199199491991401	0.0194565685928115	0.015165691189149	0.0175348130917747	0.0321549564000341	0.016889525496058
0	0	0.0788896347574322	0	0	0	0	0	0.000173044932362079	0	0	0	0.026282489879679	0	0	0	0	0	0	0	0	0	0	0	0	0	3.77256039891415e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0170471732929829	0	0.018401223078742	0.0617366833492625	0	0	0.0286708039944973	0	0	0.00129389229357932	0	0	0	0	0	0.000919939773921909	0	0	0	0.000861899820066784	0	0	0	0	0	0	7.92142375893418e-05	0	0	0	0	1.43581559479533e-05	3.76399029777975e-05	0	0	0	0	0	0	0	0.000110551875339602	0	0	0	0	0.00153745075521459	0.000301612399557048	5.31973082101853e-05	0	0.0045529383231879	0	0	0	0	0	0	0.00504383358594774
0.159971063880299	0.131280257190185	0.125528283120392	0.126424844488293	0.128256444661276	0.130182408930288	0.127218821190446	0.117434661865187	0.136609203833631	0.167276200667503	0.153630654782662	0.12151251008419	0.118773981893069	0.130277202059276	0.118467596657001	0.121517726686378	0.137130240403482	0.120778019581706	0.119147810039993	0.114091963024555	0.122544323066387	0.131447504916732	0.123081408026612	0.121511067214666	0.119266897261114	0.12863533243652	0.138781475591515	0.196725191598906	0.159526542308252	0.121261509958163	0.122054343095716	0.107081054604697	0.121849256927662	0.129217314415355	0.111385952295453	0.120734146633571	0.123359973698084	0.124873675644201	0.117558016978409	0.135270293024634	0.117748835880009	0.11791423488702	0.159582331523546	0.119308072265887	0.122714450294802	0.179793043885712	0.123250076105414	0.146062457003474	0.128279751302218	0.134768298900278	0.133521946409731	0.124955294841138	0.129736008288505	0.128411175962006	0.129218086343243	0.129708667339289	0.122628910736573	0.115272854925482	0.130052283332288	0.116201278418237	0.140441867669031	0.110635619048154	0.143426730318602	0.122768023640992	0.126839724530605	0.16929649106179	0.115544930529578	0.147366899250484	0.116985186800893	0.14602874777573	0.128024092284998	0.120158204972673	0.148419579660937	0.115885277582945	0.116437456198886	0.123417365433986	0.123118430538239	0.194687198650458	0.126938291211162	0.110433007230545	0.146324880505904	0.114741917684224	0.120796084775087	0.125338676701599	0.115875415910495	0.122515322564505	0.128051429164105	0.122262620968381	0.126630741716686	0.133057595143744	0.121383395915549	0.124330459197516	0.181785982385789	0.118428452225812	0.108802571188216	0.143719504645227	0.12586485660576	0.122173216361709	0.154023829883166	0.138585598191668
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00830269555927348	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.74251715684324e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0139088763104956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0281646668805606	0	0	0	0.00126476962104277	0.0107423297206082	1.93090306034053e-05	0	0.00254064873867212	0.00338676742314397	0.0047985489674249	0	0.0176074793068076	0.000304246960352205	0.00337810023271433	0.00108206180785826	0.00375047918146348	0	0.0382931866859749	0.00600983911801492	0.0386118629376159	0.0305655813436862	0	0	0	0.000864362790925215	0.000415882136269507	0	0	0	0	0.001099177947112	0	0	0.0149367308408353	0.00388593770986195	0.0467898652535691	0.00154110288652432	0	0	0	0	0	0.0147087426522947	0	0.0377867915364755	0.0002946813421438	0	0.0565407213377775	0.00300961299534601	0.00277265641370023	0.00530975694240675	0	0	0.000846825462750205	0.00233158866147619	0	0.00437039197967606	0	0.0106843790568111	0.00114743348998092	0.022051162460339	0	0	0.0016253076936233	7.04209025933195e-05	0	0	0.00280974391641948	0.00774202803351685	0	0	0	0.0148545361717921	0.00453059645074942	0.000289951476556791	0.0155035718026263	0	0.0105827145898037	0	0.0122769163726159	0.00178303203900485	0.0311894764021295	0.00327217083356882	0	0	0.00846172607886224	0.0803189099198688	0.00508305137721148	0.00775464237166113	0.0742515888661485	0.000789009014211804	0	0.000775169587951632	0.00515898325295614	0	0.00527953628054537	0.0223851256502082	0.000160057539692849	0
0	0.00973741173368699	0	0	0	0	0.000705925682809831	0.00093058053429768	0	0	0.00187506295690229	0	0	0.00661946835791333	0.01830797133885	0.016039774921172	0	0.00676176249304203	0.0010500302713986	0	0	0.00119647626908691	0	0.0160385028816855	0	0	0	0.0436008941496528	0	0.0198639312565199	0	0.0164615586246441	0.00252258990692867	0	0.00843974581167837	0	0	0	0.00075881002907513	0.000240140917883417	0.0111040171918384	0	0	0.000365339142682198	0.0238276426372659	0.00198316751173226	0.00766278234738917	0.0227015161699611	0	0.000883292309473279	0.0289708547383758	0.0144466891008888	0.0128560687985374	0.00374944033988065	0.0488648013608233	0.000736046288957934	0	0.00025348882295246	0.00189390206266921	0	0	0	0.00172571242237757	0.0151954312255268	0.00139850198647792	0.000769956885501098	0.00659525336265652	0.00109214201474178	0	0.000210288361035359	0.007241369672172	0.00806324474435656	0	0	0	0.000506972066228414	0	0.00253637472812233	0.000227590499675239	0.00250003718613613	0.000403732768317202	0.0098642958895314	0.00557246811374433	0	0.0350152219541209	0.0105983474326215	0	0.0114311380977213	0	0	0	0	0	0	0.0182958569447026	0	0	0	0	0
